# Version 1.00
#
freq[Hz],re:Trc1_Z<-S11[Ohm],im:Trc1_Z<-S11[Ohm],
1.713500000000000E+005,6.202578835043294E+000,-1.678078502993548E+002,
1.723050000000000E+005,5.824972016957037E+000,-1.661956796962180E+002,
1.732600000000000E+005,5.727164333161226E+000,-1.649793432122644E+002,
1.742150000000000E+005,5.952960384365955E+000,-1.628653716261816E+002,
1.751700000000000E+005,5.900669965816795E+000,-1.616217946257771E+002,
1.761250000000000E+005,5.069807989391206E+000,-1.598199144114017E+002,
1.770800000000000E+005,5.847389637929643E+000,-1.590074910034586E+002,
1.780350000000000E+005,5.365208522772201E+000,-1.572652784195860E+002,
1.789900000000000E+005,5.128269910324807E+000,-1.557832982880551E+002,
1.799450000000000E+005,5.066041803276181E+000,-1.545039714496697E+002,
1.809000000000000E+005,4.540505637592974E+000,-1.530663627514900E+002,
1.818550000000000E+005,4.430289066574593E+000,-1.518024011592593E+002,
1.828100000000000E+005,5.519150678945757E+000,-1.506854350853439E+002,
1.837650000000000E+005,5.131764357787472E+000,-1.491768122823451E+002,
1.847200000000000E+005,4.442949148210852E+000,-1.480143356656448E+002,
1.856750000000000E+005,4.995463465705264E+000,-1.473951511534380E+002,
1.866300000000000E+005,4.834051193521579E+000,-1.456861712102792E+002,
1.875850000000000E+005,4.797837007944484E+000,-1.444267058047170E+002,
1.885400000000000E+005,4.265947035496466E+000,-1.434388283811773E+002,
1.894950000000000E+005,4.529933925453530E+000,-1.426142770605811E+002,
1.904500000000000E+005,4.749690620916761E+000,-1.410651341546942E+002,
1.914050000000000E+005,4.767696824371686E+000,-1.402843350967203E+002,
1.923600000000000E+005,4.539220671825034E+000,-1.397509947368109E+002,
1.933150000000000E+005,4.235743609197944E+000,-1.389623342322512E+002,
1.942700000000000E+005,4.487888650349413E+000,-1.372198794915569E+002,
1.952250000000000E+005,4.632678659978383E+000,-1.369726965574643E+002,
1.961800000000000E+005,3.967039805240059E+000,-1.357498252924169E+002,
1.971350000000000E+005,4.341991747884856E+000,-1.350803735130139E+002,
1.980900000000000E+005,4.419807626084454E+000,-1.341574146194450E+002,
1.990450000000000E+005,4.579461827583743E+000,-1.325385551440758E+002,
2.000000000000000E+005,4.234610404730186E+000,-1.323861361388257E+002,
